OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
13020501,02/28/2013,10:37:00,02/28/2013,11:00:00,5499,Traffic Offense (describe offense),Closed/Cleared,Prosecution Declined,PUB,Z3,"Wallace Street, NW @ Tech Parkway, NW",NULL,NULL,NULL,NULL,NULL,1
13020502,02/28/2013,14:14:00,02/28/2013,14:20:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z3,Klaus Advanced Computing Building,266,NULL,"Ferst Drive, NW",NULL,NULL,1
13020504,02/28/2013,16:29:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,PUB,Z4,"Tech Parkway, NW between Regents Drive, NW and Northside Drive, NW",NULL,NULL,NULL,NULL,NULL,1
13020505,02/27/2013,18:30:00,NULL,NULL,1313,Simple Assault/Battery,Closed/Cleared,Victim/Witness Refused to Cooperate,ONCAM,Z1,McCamish Pavilion,965,NULL,"Fowler Street, NW",33.781511039305,-84.3935698977523,1
13020506,02/27/2013,21:45:00,02/28/2013,21:54:00,9999,Non-Crime (not reported to state),Closed/Cleared,Unfounded,ONCAM,Z1,GTRI Conference Center   141   Z1,250,NULL,"Fourteenth Street, NW",33.7864328577611,-84.3950686107845,1
13020507,02/28/2013,19:40:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,NONCLERY,OFFCAM,Ridgeview Institute,3995,NULL,South Cobb Drive,NULL,NULL,1
13020508,02/28/2013,22:08:00,02/28/2013,22:42:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,NONCLERY,Z1,NULL,415,NULL,"Ethel Street, NW",33.7844973541916,-84.400742479257,1
13020509,02/28/2013,22:33:00,02/28/2013,22:50:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z3,Love Manufacturing Building,771,NULL,"Ferst Drive, NW",NULL,NULL,1
13030510,02/28/2013,21:00:00,02/28/2013,21:30:00,9999,Non-Crime (not reported to state),Inactive,NULL,ONCAM,Z1,Beringause Building   46   Z1,879,NULL,Hemphill Avenue NW,33.7794998804019,-84.4023369408856,1
13030511,02/21/2013,14:30:00,02/27/2013,12:45:00,2903,Damage to Property – Public,Closed/Cleared,NULL,ONCAM,Z1,Motor Pool Building Lot,947,NULL,"Atlantic Drive, NW",33.7801446468745,-84.3977413578073,1
13030512,03/01/2013,09:32:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,Student Health Center,740,NULL,"Ferst Drive, NW",NULL,NULL,1
13030513,03/01/2013,14:29:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,College of Management,800,NULL,"West Peachtree Street, NW",33.7765931857143,-84.3873057983307,1
13030514,03/01/2013,19:26:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z3,College of Computing   50   Z3,801,NULL,Atlantic Drive NW,NULL,NULL,1
13030515,03/01/2013,20:39:00,03/01/2013,20:52:00,5707,Criminal Trespass,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Barnes and Noble Bookstore,48,NULL,"Fifth Street, NW",33.7768439093347,-84.388907415106,1
13030516,03/01/2013,20:39:00,03/01/2013,20:39:00,5707,Criminal Trespass,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Barnes and Noble Bookstore 172 Z2,48,NULL,Fifth Street NW,33.7768439093347,-84.388907415106,1
13030517,03/01/2013,22:50:00,NULL,NULL,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z1,"Fowler Street, NW @ Tenth Street, NW",NULL,NULL,NULL,NULL,NULL,1
13030518,03/02/2013,00:34:00,NULL,NULL,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z4,"North Avenue, NW, near State State, NW",NULL,NULL,NULL,NULL,NULL,1
13030519,03/02/2013,05:17:00,03/02/2013,05:40:00,4104,Liquor – Possession Of,Closed/Cleared,Prosecution Declined,ONCAMRES,Z2,Hanson Residence Hall,109,NULL,"Bobby Dodd Way, NW",NULL,NULL,1
13030520,03/02/2013,05:42:00,NULL,NULL,2903,Damage to Property – Public,Inactive,NULL,ONCAMRES,Z2,North Avenue Apartments,120,NULL,"North Avenue, NW",33.7712915716627,-84.3913324013709,1
13030521,03/02/2013,07:58:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,North Avenue Apartments,120,NULL,"North Avenue, NW",NULL,NULL,1
13030522,03/02/2013,10:06:00,NULL,NULL,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z1,"10th Street, NW and State Street, NW",NULL,NULL,NULL,NULL,NULL,1
13030524,03/02/2013,16:40:00,03/02/2013,17:05:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,McCamish Pavilion,965,NULL,"Fowler Street, NW",NULL,NULL,1
