OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
17010011,1/4/2017,18:53:00,1/4/2017,19:19:00,8399,NULL,Closed/Cleared,Prosecution Declined,ONCAM,Z2,Skiles Building,686,NULL,"Cherry Street, NW",33.77399,-84.39729,1
17010015,1/5/2017,19:10:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z3,Student Center,351,NULL,"Ferst Drive, NW",33.77413608,-84.39881802,1
17010052,1/12/2017,9:30:00,1/12/2017,12:30:00,2399,Larceny Offense Free Text,Inactive,NULL,ONCAM,Z2,Scheller College of Business   172   Z2,800,NULL,"West Peachtree Street, NW",33.77628053,-84.38801865,1
17010072,1/13/2017,13:00:00,1/13/2017,14:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z3,Clough Undergraduate Learning Center,266,NULL,"Fourth Street, NW",33.7746818,-84.39637939,1
17010108,1/18/2017,18:20:00,1/18/2017,19:50:00,1313,Simple Assault/Battery,Closed/Cleared,Cleared by Arrest,PUB,Z4,"Tech Parkway, NW @ State Street, NW",NULL,NULL,NULL,33.77135,-84.39616,1
17010128,1/21/2017,15:57:00,1/21/2017,17:06:00,9999W,NULL,Closed/Cleared,Prosecution Declined,ONCAM,Z2,Georgia Tech Hotel & Conference Center   171  Z2,800,NULL,"Spring Street, NW",33.77634325,-84.38930792,1
17010148,1/23/2017,16:00:00,1/25/2017,7:48:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,Woodruff Residence Hall   116   Z4,890,NULL,Curran Street NW,33.77910743,-84.40662487,1
17020280,2/12/2017,4:43:00,2/17/2017,4:50:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Waffle House,66,NULL,Fifth Street NW,33.776725,-84.389468,1
17020285,2/10/2017,15:00:00,2/13/2017,18:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,NULL,575,NULL,Fourteenth Street NW,NULL,NULL,1
17030411,3/1/2017,21:30:00,3/1/2017,22:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,Campus Recreation Center,750,NULL,"Ferst Drive, NW",33.77546401,-84.40349901,1
