OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
10010001,01/01/2010,01:55:00,01/01/2010,02:58:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAMRES,Z1,Center Street Apartments North   132  Z1,939,NULL,"Hemphill Avenue, NW",NULL,NULL,1
10010002,01/01/2010,01:36:00,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,NONCAM,Z4,NULL,NULL,NULL,NULL,NULL,NULL,1
10010004,01/01/2010,02:00:00,01/01/2010,04:00:00,2308,Larceny – From Building,Inactive,NULL,NONCAM,Z2,Sigma Nu Fraternity   325   Z2,750,NULL,"Fowler Street, NW",NULL,NULL,1
10010005,01/02/2010,06:15:00,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z2,North Avenue Apartments,120,NULL,"North Avenue, NW",NULL,NULL,1
10010006,01/03/2010,01:29:00,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,Prosecution Declined,PUB,Z4,"Marietta Street, NW b/w Northside Drive, NW & Means Street, NW",NULL,NULL,NULL,NULL,NULL,1
10010007,01/01/2010,02:00:00,01/01/2010,02:30:00,2308,Larceny – From Building,Inactive,NULL,NONCAM,Z2,Lambda Chi Alpha Fraternity   312   Z2,792,NULL,"Techwood Drive, NW",NULL,NULL,1
10010008,01/03/2010,11:47:00,NULL,NULL,2305,Larceny – Articles from Vehicle,Inactive,NULL,ONCAM,Z2,Weber Building  (SST 1)   84   Z2,281,NULL,"Ferst Drive, NW",NULL,NULL,1
10010013,01/05/2010,03:16:00,01/05/2010,04:02:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAMRES,Z4,Undergraduate Living Center,580,NULL,"Turner Place, NW",NULL,NULL,1
10010014,01/05/2010,08:30:00,01/05/2010,08:43:00,2902,Damage to Property – Private,Closed/Cleared,NULL,ONCAM,Z2,Wardlaw Center Parking Deck   47   Z2,177,NULL,"North Avenue, NW",NULL,NULL,1
10010015,01/05/2010,16:12:00,01/05/2010,16:25:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z3,Manufacturing Related Disciplines Complex,801,NULL,"Ferst Drive, NW",NULL,NULL,1
10010016,01/05/2010,16:34:00,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z3,Klaus Advanced Computing Building   153   Z3,266,NULL,"Ferst Drive, NW",NULL,NULL,1
10010017,01/05/2010,08:00:00,01/05/2010,10:00:00,2317,Larceny – Bicycle,Inactive,NULL,ONCAM,Z1,Love Building,771,NULL,"Ferst Drive, NW",NULL,NULL,1
10010018,01/05/2010,22:00:00,01/06/2010,08:11:00,2305,Larceny – Articles from Vehicle,Inactive,NULL,ONCAM,Z1,Familly Housing Apartments,251,NULL,"Tenth Street, NW",NULL,NULL,1
10010019,01/05/2010,19:00:00,01/06/2010,08:57:00,5707,Criminal Trespass,Inactive,NULL,ONCAM,Z1,Family Apartments Parking Deck,251,NULL,Tenth Street,NULL,NULL,1
10010021,01/06/2010,21:23:00,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAMRES,Z2,North Avenue Apartments North,120,NULL,"North Avenue, NW",NULL,NULL,1
10010022,01/03/2010,18:00:00,01/06/2010,21:47:00,2404,Theft of Automobile,Inactive,NULL,ONCAM,Z1,Family Apartments Parking Deck (Purple Level),251,NULL,"Tenth Street, NW",NULL,NULL,1
10010023,01/06/2010,23:02:00,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,Prosecution Declined,ONCAM,Z1,Family Apartments Parking Deck,251,NULL,"Tenth Street, NW",NULL,NULL,1
