OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
11102082,10/11/2012,16:15:00,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z3,Klaus Advanced Computing Building   153   Z3,266,NULL,"Ferst Drive, NW",NULL,NULL,1
12010001,01/01/2012,03:18:00,NULL,NULL,5404,Driving Under the Influence of Alcohol,Closed/Cleared,Cleared by Arrest,PUB,Z3,"300 Block Ferst Drive, NW",NULL,NULL,NULL,NULL,NULL,1
12010002,01/01/2012,03:19:00,01/01/2012,04:02:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,PUB,Z2,"North Avenue, NW @ Centennial Olympic Park Drive, NW",NULL,NULL,NULL,NULL,NULL,1
12010004,01/01/2012,06:40:00,01/01/2012,07:20:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z2,Peters Parking Deck   8   Z2,749,NULL,Fowler Street NW,NULL,NULL,1
12010005,01/01/2012,10:00:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,NONCLERY,OFFCAM,NULL,1033,NULL,"Hemphill Avenue, NW",NULL,NULL,1
12010006,01/01/2012,13:00:00,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z2,Georgia Institute of Technology Hotel and Conference Center,800,NULL,"Spring Street, NW",NULL,NULL,1
12010007,01/03/2012,05:40:00,NULL,NULL,5707,Criminal Trespass,Closed/Cleared,Unfounded,ONCAM,Z3,Rich Building   51C   Z2,258,NULL,"Fourth Street, NW",NULL,NULL,1
12010011,01/03/2012,11:45:00,01/03/2012,12:02:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z3,Bunger-Henry Building   86  Z3,778,NULL,Atlantic Drive NW,NULL,NULL,1
12010012,01/03/2012,19:50:00,01/03/2012,20:00:00,2304,Larceny – Parts from Vehicle,Inactive,NULL,ONCAM,Z4,Campus Recreation Center Parking Deck,750,NULL,Ferst Drive,NULL,NULL,1
12010013,01/03/2012,21:09:00,01/03/2012,22:30:00,7399,Miscellaneous Offenses,Closed/Cleared,Cleared by Arrest,PUB,Z2,"North Avenue, NW @ Williams Street, NW",NULL,NULL,NULL,NULL,NULL,1
12010014,01/03/2012,21:05:00,01/03/2012,21:15:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,NONCLERY,Z4,Tenside Apartments,1000,NULL,"Northside Drive, NW",NULL,NULL,1
12010017,01/04/2012,20:00:00,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z1,GCATT   141   Z1,250,NULL,"Fourteenth Street, NW",NULL,NULL,1
12010018,01/05/2012,10:20:00,01/05/2012,10:33:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z1,Beringause Building   46   Z1,879,NULL,"Hemphill Avenue, NW",NULL,NULL,1
12010020,01/03/2012,10:40:00,01/03/2012,10:50:00,2303,Shoplifting,Inactive,NULL,ONCAM,Z2,Barnes and Noble Bookstore 172 Z2,48,NULL,"Fifth Street, NW",NULL,NULL,1
12010021,01/05/2012,14:33:00,01/05/2012,14:45:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAMRES,Z2,Fourth Street Apartments (Stein House)   134  Z2,733,NULL,Techwood Drive NW,NULL,NULL,1
