OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
15030405,03/06/2015,16:00:00,03/09/2015,10:00:00,2999,Damage to Property Offense Free Text,Inactive,NULL,ONCAMRES,Z2,North Avenue Apartments,120,NULL,North Avenue NW,33.770119840900001,-84.391353516400002,1
15030411,03/10/2015,00:52:00,03/10/2015,01:09:00,3562,Marijuana – Possession of,Closed/Cleared,Prosecution Declined,ONCAM,Z2,Hanson Residence Hall,109,NULL,Bobby Dodd Way,NULL,NULL,1
15030435,03/13/2015,16:45:00,03/13/2015,18:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Ray's Pizza,26,NULL,Fifth Street NW,33.777373435599998,-84.390096068700004,1
15030437,03/14/2015,03:09:00,03/14/2015,03:09:00,5404,Driving Under the Influence of Alcohol,Closed/Cleared,Cleared by Arrest,PUB,Z4,"Northside Drive, NW at Marietta Street, NW",NULL,NULL,NULL,NULL,NULL,1
15030468,03/19/2015,12:30:00,03/20/2015,06:30:00,2399,Larceny Offense Free Text,Inactive,NULL,ONCAM,Z2,Brittain Dining Hall,649,NULL,"Techwood Drive, NW",33.772446267799999,-84.3913032528,1
15030469,03/19/2015,21:00:00,03/19/2015,22:04:00,2903,Damage to Property – Public,Closed/Cleared,Prosecution Declined,ONCAMRES,Z2,North Avenue Apartments,120,NULL,"North Avenue, NW",33.770119840900001,-84.391353516400002,1
15060926,06/09/2015,06:45:00,06/09/2015,16:19:00,2902,Damage to Property – Private,Inactive,NULL,ONCAM,Z1,Beringause Building   46   Z1,879,NULL,"Hemphill Avenue, NW",33.778956412500001,-84.401314659600004,1
15060954,06/17/2015,18:23:00,06/17/2015,19:02:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z3,Student Center,351,NULL,"Ferst Drive, NW",33.7741360837,-84.398818020899995,1
15061035,06/24/2015,15:00:00,06/30/2015,12:26:00,2901,Damage to Property – Business,Inactive,NULL,ONCAM,Z2,Area 4 Visitor Lot,NULL,NULL,Ferst Drive & State Street,NULL,NULL,1
15071051,07/02/2015,22:00:00,07/02/2015,22:10:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,GTRI Research Building (Hinman Highbay),723,NULL,Cherry Street NW,33.7746708342,-84.395114756,1
15071055,07/03/2015,22:39:00,07/03/2015,22:45:00,8399,NULL,Closed/Cleared,NULL,PUB,Z3,Pi Kappa Phi,220,NULL,"Ferst Drive, NW",NULL,NULL,1
15071061,07/04/2015,20:00:00,07/05/2015,03:00:00,2902,Damage to Property – Private,Inactive,NULL,PUB,NULL,"Fourth Street, NW @ Fowler Street, NW",NULL,NULL,NULL,NULL,NULL,1
15071070,06/30/2015,21:00:00,07/07/2015,08:29:00,2434,Theft of Other Vehicle,Inactive,NULL,ONCAM,Z4,Hefner & Armstrong Parking  Lot,510,NULL,"Eighth Street, NW",NULL,NULL,1
15071088,07/10/2015,01:45:00,07/10/2015,02:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z1,Family Apartments,251,NULL,Tenth Street NW,NULL,NULL,1
15071117,07/15/2015,17:00:00,07/15/2015,19:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,NONCLERY,OFFCAM,"Biolab, Inc. Manufacturing",1700,NULL,Old Covington Hwy,NULL,NULL,1
15071121,07/16/2015,23:41:00,NULL,NULL,5499,Traffic Offense (describe offense),Closed/Cleared,NULL,PUB,OFFCAM,"Northside Drive, NW / Sixteenth Street, NW",NULL,NULL,NULL,NULL,NULL,1
15071142,07/20/2015,16:30:00,07/21/2015,12:00:00,2308,Larceny – From Building,Inactive,NULL,ONCAM,Z1,O'Keefe Building,151,NULL,"Sixth Street, NW",NULL,NULL,1
15071156,07/21/2015,17:00:00,07/22/2015,11:00:00,2308,Larceny – From Building,Inactive,NULL,ONCAMRES,Z4,Eighth East Street Apartments   130   Z4 /  Eighth Street South Apartments,555,NULL,Eighth Street NW,33.780128725799997,-84.405138647100003,1
15071160,07/23/2015,19:29:00,NULL,NULL,8399,NULL,Closed/Cleared,NULL,PUB,OFFCAM,"Tech Parkway, NW / North Avenue, NW",NULL,NULL,NULL,NULL,NULL,1
15030384,03/05/2015,21:42:00,03/05/2015,22:13:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Engineered Biosystems Building (EBB),950,NULL,Atlantic Drive NW,NULL,NULL,1
15030388,03/06/2015,09:18:00,03/06/2015,09:20:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z1,Family Apartments,251,NULL,Tenth Street NW,33.782380022799998,-84.395955559699999,1
15030402,03/08/2015,18:40:00,03/08/2015,19:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z1,Family Apartments - Building A,251,NULL,Tenth Street NW,33.7823800228,-84.3959555597,1
15030404,03/09/2015,00:52:00,03/09/2015,01:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Georgia Tech Police Department,879,NULL,"Hemphill Avenue, NW",NULL,NULL,1
15030416,03/10/2015,20:05:00,03/10/2015,20:10:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,PUB,Z1,"Ferst Drive, NW @ Fowler Street, NW",NULL,NULL,Ferst Drive NW,33.777615084600001,-84.394826599200002,1
15030422,03/11/2015,17:25:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Parker H. Petit Biotechnology Building (IBB),315,NULL,Ferst Drive NW,33.778977765699999,-84.397261852100002,1
15030424,03/11/2015,23:20:00,03/12/2015,00:25:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Technology Square Parking Deck 174  Z2,770,NULL,Spring Street NW,33.775586617599998,-84.389475466600004,1
15030433,03/10/2015,18:00:00,03/12/2015,18:00:00,2317,Larceny – Bicycle,Inactive,NULL,ONCAM,Z3,Cherry Emerson,310,NULL,"Ferst Drive, NW",33.778956412500001,-84.401314659600004,1
15030444,03/12/2015,11:10:00,03/15/2015,11:45:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z4,Hefner Residence Hall   107   Z4,510,NULL,"Eighth Street, NW",33.779148858600003,-84.403943568499997,1
15030459,03/17/2015,11:30:00,03/17/2015,18:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,NONCAM,Z2,Theta XI Fraternity,777,NULL,Techwood Drive NW,33.7758785,-84.3916619,1
15030467,03/19/2015,17:30:00,03/19/2015,17:45:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z4,Caldwell Residence Hall   109   Z4,521,NULL,Turner Place NW,33.7789095961,-84.404411881100003,1
15010155,01/26/2015,10:00:00,01/26/2015,20:30:00,2317,Larceny – Bicycle,Closed/Cleared,Unfounded,ONCAM,Z3,Instructional Center   55   Z3,759,NULL,Ferst Drive NW,33.775444563000001,-84.401297829499995,1
15020198,02/04/2015,12:01:00,02/04/2015,12:22:00,3512,Heroin – Possession Of,Closed/Cleared,Cleared by Arrest,NONCLERY,Z4,"Northisde Drive, NW @ Tenth Street, NW",NULL,NULL,NULL,NULL,NULL,1
15020256,02/13/2015,23:40:00,02/13/2015,23:59:00,4104,Liquor – Possession Of,Closed/Cleared,Prosecution Declined,ONCAM,Z2,Perry-Matheson Residence Hall   92   Z2,715,NULL,Techwood Drive NW,33.774506259500001,-84.391058193500001,1
15020309,02/24/2015,17:42:00,NULL,NULL,4899,Obstructing Police Offense Free Text,Closed/Cleared,Cleared by Arrest,PUB,Z4,Northside Drive @ Fourteenth Street,NULL,NULL,NULL,NULL,NULL,1
15020313,02/22/2015,22:00:00,02/22/2015,22:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,NONCAM,Z2,Spring Street NW @ North Avenue NW,NULL,NULL,NORTH AV NW,NULL,NULL,1
15020329,02/27/2015,13:14:00,02/27/2015,13:14:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,NONCLERY,Z2,"Spring Street, NW @ Ponce De Leon Avenue, NE",NULL,NULL,NULL,NULL,NULL,1
15030393,03/07/2015,03:10:00,03/07/2015,03:40:00,5404,Driving Under the Influence of Alcohol,Closed/Cleared,Cleared by Arrest,NONCLERY,Z1,"West Peachtree Street, NW & 10th Street, NW",NULL,NULL,NULL,NULL,NULL,1
15030432,03/13/2015,10:30:00,03/13/2015,11:00:00,2308,Larceny – From Building,Closed/Cleared,Unfounded,ONCAM,Z3,Love Building,771,NULL,"Ferst Drive, NW",33.778956412500001,-84.401314659600004,1
15030434,03/13/2015,15:46:00,03/13/2015,15:52:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z3,Clough Undergraduate Learning Center,266,NULL,Fourth Street NW,33.774681795699998,-84.396379388400007,1
15030457,03/17/2015,18:50:00,03/17/2015,19:12:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,Towers Residence Hall   15   Z2,112,NULL,"Bobby Dodd Way, NW",NULL,NULL,1
15030465,03/19/2015,01:24:00,03/19/2015,01:24:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z1,Center Street Apartments West,939,NULL,Hemphill Avenue NW,33.780051239800002,-84.401987856700003,1
15060963,06/18/2015,19:28:00,NULL,NULL,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z1,NULL,NULL,NULL,NULL,NULL,NULL,1
15060973,06/19/2015,15:00:00,06/19/2015,16:35:00,1316,Terroristic Threats/Intimidation,Closed/Cleared,Cleared by Arrest,ONCAM,Z1,IPST #2 North Lot,575,NULL,Fourteenth Street,NULL,NULL,1
15060982,06/19/2015,16:00:00,06/22/2015,08:00:00,2902,Damage to Property – Private,Closed/Cleared,Prosecution Declined,ONCAM,Z2,Weber Building  (SST 1)   84   Z2,281,NULL,Ferst Drive NW,33.772899148900002,-84.3966206443,1
15060989,06/23/2015,08:30:00,NULL,NULL,2902,Damage to Property – Private,Inactive,NULL,ONCAMRES,Z1,Family Apartments   180   Z1,251,NULL,"Tenth Street, NW",33.782380022799998,-84.395955559699999,1
15061000,06/24/2015,19:14:00,06/24/2015,19:54:00,3562,Marijuana – Possession of,Closed/Cleared,Cleared by Arrest,PUB,Z2,"Techwood Drive, NW @ Bobby Dodd Way, NW",NULL,NULL,NULL,NULL,NULL,1
15061003,06/25/2015,00:25:00,06/25/2015,01:45:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z4,"Tenth Street, NW @ Northside Drive, NW",NULL,NULL,NULL,NULL,NULL,1
15061021,06/27/2015,11:30:00,06/27/2015,11:52:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,Towers Residence Hall   15   Z2,112,NULL,"Bobby Dodd Way, NW",33.773432325900004,-84.391000115200001,1
15061029,06/25/2015,11:00:00,07/07/2015,09:00:00,3799,Obscenity Offense Free Text,Closed/Cleared,Cleared by Arrest,ONCAM,Z1,Ford ES&T,311,NULL,"Ferst Drive, NW",NULL,NULL,1
15061031,06/29/2015,17:00:00,06/29/2015,17:38:00,9999W,NULL,Closed/Cleared,Cleared by Arrest,NONCLERY,Z1,"W. Peachtree Street, NW",NULL,NULL,W Peachtree St,NULL,NULL,1
15061038,06/30/2015,19:28:00,06/30/2015,19:35:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z3,Love Manufactoring Building,711,NULL,Ferst Drive NW,33.775464005800004,-84.403499012599994,1
15071124,07/15/2015,13:00:00,07/16/2015,22:00:00,2317,Larceny – Bicycle,Inactive,NULL,ONCAM,Z2,Clough Building,266,NULL,"Fourth Street, NW",33.775486517300003,-84.392971791899996,1
15071134,07/19/2015,11:38:00,07/19/2015,12:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,NONCAM,Z1,Tenth Street & Techwood Drive  Z1,NULL,NULL,NULL,NULL,NULL,1
15020290,02/22/2015,06:00:00,02/22/2015,07:23:00,9999,Non-Crime (not reported to state),Inactive,NULL,PUB,Z4,NULL,645,NULL,Northside Drive,NULL,NULL,1
15020326,02/27/2015,03:00:00,02/27/2015,04:00:00,5404,Driving Under the Influence of Alcohol,Closed/Cleared,Cleared by Arrest,NONCAM,Z1,"10th Street, NW & Williams Street, NW",NULL,NULL,NULL,NULL,NULL,1
15020335,02/27/2015,13:00:00,02/27/2015,18:30:00,2308,Larceny – From Building,Inactive,NULL,ONCAM,Z3,Student Center,351,NULL,"Ferst Drive, NW",33.7741360837,-84.398818020899995,1
15030351,03/01/2015,12:19:00,03/01/2015,12:38:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,NONCAM,OFFCAM,NULL,NULL,NULL,"Williams Street,  NW",NULL,NULL,1
15030352,03/01/2015,17:41:00,03/01/2015,17:45:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z4,Hefner Residence Hall,510,NULL,"Eighth Street, NW",33.7791488586,-84.4039435685,1
15030364,03/03/2015,21:12:00,03/03/2015,21:32:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,"Ferst Street, NW @ Fowler Street, NW",NULL,NULL,NULL,NULL,NULL,1
15030367,03/04/2015,10:15:00,03/04/2015,10:20:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,NONCLERY,Z3,Student Center   104   Z3,351,NULL,Ferst Drive NW,33.7741360837,-84.398818020899995,1
15030371,03/03/2015,20:40:00,03/03/2015,21:40:00,2308,Larceny – From Building,Closed/Cleared,Unfounded,ONCAM,Z2,Recreation Center,120,NULL,North Avenue NW,33.770119840900001,-84.391353516400002,1
15030378,03/05/2015,12:42:00,NULL,NULL,3532,Cocaine – Possession of,Closed/Cleared,Cleared by Arrest,PUB,Z1,"Techwood Drive, NW @ Tenth Street, NW",NULL,NULL,NULL,NULL,NULL,1
15030383,03/03/2015,21:15:00,03/03/2015,21:30:00,2604,Fraud – Impersonation,Inactive,NULL,ONCAM,Z4,Campus Recreation Center   160   Z4,750,NULL,Ferst Drive NW,33.775464005800004,-84.403499012599994,1
15030408,03/09/2015,01:00:00,03/09/2015,09:00:00,1103,Rape – Strongarm,Inactive,NULL,ONCAMRES,Z1,North Avenue Apartments  191  Z2,120,NULL,North Avenue NW,33.770119840900001,-84.391353516400002,1
15030409,03/07/2015,00:10:00,03/09/2015,19:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,NONCAM,Z3,Kappa Alpha House,801,NULL,"Techwood Drive, NW",33.771707325999998,-84.3912515496,1
15030508,03/27/2015,13:29:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,PUB,NULL,Ferst Drive and Hemphill Avenue,NULL,NULL,NULL,33.778956412500001,-84.401314659600004,1
15030509,03/27/2015,15:30:00,NULL,NULL,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,NONCLERY,Z4,Northside Drive @ Donald Lee Hollowell,NULL,NULL,NULL,NULL,NULL,1
15030514,03/27/2015,21:30:00,03/28/2015,11:15:00,2902,Damage to Property – Private,Inactive,NULL,NONCAM,Z2,Kappa Alpha Fraternity,801,NULL,"Techwood Drive, NW",NULL,NULL,1
15030528,03/31/2015,16:15:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z3,Van Leer Building,777,NULL,"Atlantic Drive, NW",33.781957443700001,-84.396605664800006,1
15040534,04/01/2015,15:37:00,04/01/2015,15:37:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z3,Student Services Building   123   Z3,353,NULL,Ferst Drive NW,33.774350440299997,-84.399552469699998,1
15040562,04/06/2015,16:46:00,04/06/2015,NULL,2303,Shoplifting,Closed/Cleared,Cleared by Arrest,ONCAM,Z1,Walmart,86,NULL,Fifth Street NW,33.776663,-84.389289,1
15040578,04/03/2015,14:00:00,04/03/2015,21:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,Campus Recreation Center Parking Deck,750,NULL,"Ferst Drive, NW",33.775464005800004,-84.403499012599994,1
15040601,04/10/2015,12:40:00,04/10/2015,13:30:00,2699,Fraudulent Activity Offense Free ,Closed/Cleared,Prosecution Declined,ONCAMRES,Z1,Smith Residence Hall,630,NULL,Williams Street NW,33.771707325999998,-84.3912515496,1
15040610,04/11/2015,12:05:00,04/11/2015,12:26:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Clough Undergraduate Learning Center   166   Z2,266,NULL,Fourth Street NW,33.774681795699998,-84.396379388400007,1
15040621,04/13/2015,08:58:00,04/13/2015,09:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Centennial Research Building Card Lot,400,NULL,"Tenth Street, NW",NULL,NULL,1
15040641,04/16/2015,02:25:00,04/16/2015,02:25:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,NONCAM,Z2,"Spring Street, NW at Armstead Place, NW",NULL,NULL,NULL,NULL,NULL,1
15040680,04/21/2015,18:00:00,04/22/2015,06:15:00,2305,Larceny – Articles from Vehicle,Inactive,NULL,ONCAM,Z1,O'keefe East Lot,151,NULL,"Sixth Street, NW",33.778956412500001,-84.401314659600004,1
15030492,03/24/2015,10:24:00,03/24/2015,10:25:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Techwood Drive NW @ Bobby Dodd Way NW,NULL,NULL,NULL,NULL,NULL,1
15040541,02/25/2015,12:00:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,NONCAM,Z1,French Consulate General,3399,NULL,Peachtree Road,33.778896623599998,-84.396036089199995,1
15040553,04/04/2015,20:00:00,04/04/2015,21:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,Campus Recreation Center,750,NULL,"Ferst Drive, NW",33.775464005800004,-84.403499012599994,1
15040556,04/06/2015,09:06:00,04/06/2015,09:30:00,8399,NULL,Closed/Cleared,NULL,PUB,Z2,Sigma Nu Fraternity,750,NULL,"Fowler Street, NW",NULL,NULL,1
15040564,04/06/2015,10:15:00,04/06/2015,10:25:00,2305,Larceny – Articles from Vehicle,Closed/Cleared,Unfounded,ONCAM,Z1,Graduate Living Center,301,NULL,Tenth Street NW,33.781957443700001,-84.396605664800006,1
15040573,04/07/2015,15:47:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,NONCLERY,Z4,"Northside Drive, NW @ Donald Lee Hollowell, NW",NULL,NULL,NULL,NULL,NULL,1
15040576,04/08/2015,03:03:00,04/08/2015,03:44:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,Field Residence Hall,711,NULL,Techwood Drive NW,33.7742092467,-84.3916507935,1
15040580,04/08/2015,11:25:00,NULL,NULL,5499,Traffic Offense (describe offense),Closed/Cleared,Prosecution Declined,PUB,Z2,"Spring Street, NW @ Armstead Street, NW",NULL,NULL,NULL,NULL,NULL,1
15040607,04/10/2015,21:30:00,04/11/2015,00:59:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z1,Family Apartments,251,NULL,"Tenth Street, NW",33.782380022799998,-84.395955559699999,1
15040615,04/12/2015,04:57:00,04/12/2015,06:17:00,5399,Public Peace Offense Free Text,Closed/Cleared,Prosecution Declined,NONCAM,Z1,Kappa Sigma Fraternity,182,NULL,Sixth Street NW,33.777920385900003,-84.393200189599995,1
15040627,04/14/2015,15:30:00,NULL,NULL,3522,Opium or Derivative – Possession of,Closed/Cleared,Cleared by Arrest,PUB,Z1,"Centennial Olympic Park Drive, NW / North Avenue, NW",NULL,NULL,NULL,NULL,NULL,1
15040632,04/15/2015,10:16:00,04/15/2015,10:16:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,Campus Recreation Center,750,NULL,"Ferst Drive, NW",33.775464005800004,-84.403499012599994,1
15050849,05/25/2015,13:00:00,05/25/2015,13:46:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Dancord Building   826   Z2,756,NULL,"West Peachtree Street, NW",33.775260830299999,-84.387636175300003,1
15050863,05/28/2015,08:40:00,05/28/2015,10:38:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,NONCAM,Z2,Alumni-Faculty House   3   Z2,190,NULL,North Avenue NW,33.7710216957,-84.393501586499994,1
15050866,05/28/2015,23:05:00,NULL,NULL,5707,Criminal Trespass,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Baptist Collegiate Ministry,740,NULL,Techwood Drive NW,NULL,NULL,1
15050876,05/30/2015,20:00:00,05/30/2015,20:40:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,NONCAM,Z1,Rocky Mountain Pizza,1005,NULL,"Hemphill Avenue, NW",NULL,NULL,1
15050881,05/31/2015,20:17:00,NULL,NULL,4803,Making A False Report/Giving False Information,Closed/Cleared,Cleared by Arrest,PUB,Z4,"North Avenue, NW at Strong Street, NW",NULL,NULL,NULL,NULL,NULL,1
