OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
19010004,01/01/2019,2:17:00,01/01/2019,NULL,9999MH,NULL,Unfounded,Not Applicable,NONCAM,Z3,Sigma Alpha Epsilon Fraternity,221,NULL,"Fourth Street, NW",NULL,NULL,1
19010008,01/01/2019,22:00:00,01/02/2019,13:14:00,290,Destruction/Damage/Vandalism of Property,Unfounded,Not Applicable,ONCAM,Z2,COP Drive  between Merrits Street NW and NAA Turnaround,NULL,NULL,NULL,NULL,NULL,1
19010002,01/01/2019,2:30:00,01/01/2019,2:33:00,90Z,All Other Offenses,Closed by Arrest,Not Applicable,NONCAM,Z2,NULL,NULL,NULL,"Spring Street, NW",NULL,NULL,1
19010002,01/01/2019,2:30:00,01/01/2019,2:33:00,90Z,All Other Offenses,Closed by Arrest,Not Applicable,NONCAM,Z2,NULL,NULL,NULL,"Spring Street, NW",NULL,NULL,1
19010007,01/01/2019,23:20:00,01/02/2019,7:14:00,23F,Theft From Motor Vehicle,Inactive,Not Applicable,ONCAM,Z3,Student Center   104   Z3,351,NULL,"Ferst Drive, NW",33.77413608,-84.39881802,1
19010001,01/01/2019,1:35:00,01/01/2019,2:07:00,90Z,All Other Offenses,Unfounded,Not Applicable,PUB,Z2,NULL,75,NULL,"Fifth Street, NW",NULL,NULL,1
2019000017,01/01/2019,1:35:00,01/01/2019,2:07:00,9999V,NULL,Unfounded,Not Applicable,ONCAM,Z2,NULL,75,NULL,"Fifth Street, NW",NULL,NULL,2
19010009,01/02/2019,15:48:00,01/02/2019,15:53:00,90Z,All Other Offenses,Unfounded,Not Applicable,ONCAM,Z3,Pettit Microelectronics Research Ctr. (MiRC),791,NULL,"Atlantic Drive, NW",33.77661416,-84.39732991,1
19010010,01/02/2019,16:00:00,01/02/2019,18:00:00,90Z,All Other Offenses,Unfounded,Not Applicable,NONCAM,OFFCAM,NULL,455,NULL,"Centennial Olympic Park Drive, NW",NULL,NULL,1
19010030,01/03/2019,20:00:00,01/03/2019,23:00:00,13A,Aggravated Assault,Inactive,Not Applicable,ONCAM,Z1,GTPD Constuction site,965,NULL,HEMPHILL AV NW,NULL,NULL,1
19010030,01/03/2019,20:00:00,01/03/2019,23:00:00,90Z,All Other Offenses,Inactive,Not Applicable,ONCAM,Z1,GTPD Constuction site,965,NULL,HEMPHILL AV NW,NULL,NULL,1
19010016,01/03/2019,15:00:00,01/03/2019,18:00:00,90Z,All Other Offenses,Unfounded,Not Applicable,ONCAM,Z3,Student Center   104   Z3,351,NULL,Ferst Drive NW,33.77413608,-84.39881802,1
19010014,01/03/2019,16:15:00,01/03/2019,17:15:00,9999CTW,NULL,Active,Not Applicable,ONCAM,Z4,Campus Recreation Center   160   Z4,750,NULL,Ferst Drive NW,33.77546401,-84.40349901,1
